Date,Open,High,Low,Close,Adj Close,Volume,D/E,Profit Margin,EPS(diluted),P/B ratio
2020/9/22,3.950000048,3.970000029,3.930000067,3.930000067,3.024910688,75632958,1.191503414,-2.15,-0.19,0.66
2020/9/23,3.930000067,3.940000057,3.920000076,3.920000076,3.017213821,42740906,1.191503414,-2.15,-0.19,0.66
2020/9/24,3.920000076,3.920000076,3.880000114,3.890000105,2.994122744,84426707,1.191503414,-2.15,-0.19,0.66
2020/9/25,3.900000095,3.900000095,3.880000114,3.890000105,2.994122744,42139544,1.191503414,-2.15,-0.19,0.66
2020/9/28,3.890000105,3.910000086,3.880000114,3.890000105,2.994122744,69440687,1.191503414,-2.15,-0.19,0.66
2020/9/29,3.900000095,3.910000086,3.890000105,3.890000105,2.994122744,41162356,1.191503414,-2.15,-0.19,0.66
2020/9/30,3.900000095,3.930000067,3.880000114,3.910000086,3.009516716,71000182,1.191503414,-2.15,-0.19,0.66
2020/10/9,3.930000067,3.950000048,3.920000076,3.930000067,3.024910688,52393970,1.069308616,2,0.19,0.68
2020/10/12,3.930000067,3.970000029,3.920000076,3.960000038,3.048001766,77817224,1.069308616,2,0.19,0.68
2020/10/13,3.960000038,3.960000038,3.930000067,3.940000057,3.032607555,41411879,1.069308616,2,0.19,0.68
2020/10/14,3.930000067,3.940000057,3.900000095,3.920000076,3.017213821,77735520,1.069308616,2,0.19,0.68
2020/10/15,3.910000086,3.930000067,3.910000086,3.920000076,3.017213821,39910005,1.069308616,2,0.19,0.68
2020/10/16,3.920000076,3.940000057,3.910000086,3.930000067,3.024910688,51148022,1.069308616,2,0.19,0.68
2020/10/19,3.930000067,3.950000048,3.910000086,3.920000076,3.017213821,80295509,1.069308616,2,0.19,0.68
2020/10/20,3.920000076,3.940000057,3.910000086,3.930000067,3.024910688,45152352,1.069308616,2,0.19,0.68
2020/10/21,3.930000067,3.940000057,3.910000086,3.930000067,3.024910688,61347563,1.069308616,2,0.19,0.68
2020/10/22,3.920000076,3.930000067,3.910000086,3.920000076,3.017213821,40614157,1.069308616,2,0.19,0.68
2020/10/23,3.859999895,3.920000076,3.849999905,3.900000095,3.056398392,128970351,1.069308616,2,0.19,0.68
2020/10/26,3.910000086,3.920000076,3.890000105,3.900000095,3.056398392,60531008,1.069308616,2,0.19,0.68
2020/10/27,3.900000095,3.900000095,3.880000114,3.880000114,3.040724516,40298828,1.069308616,2,0.19,0.68
2020/10/28,3.880000114,3.890000105,3.859999895,3.880000114,3.040724516,42840918,1.069308616,2,0.19,0.68
2020/10/29,3.859999895,3.900000095,3.859999895,3.890000105,3.048561335,82797087,1.069308616,2,0.19,0.68
2020/10/30,3.890000105,3.930000067,3.880000114,3.900000095,3.056398392,127074492,1.069308616,2,0.19,0.68
2020/11/2,3.900000095,3.920000076,3.880000114,3.910000086,3.06423521,86468260,1.069308616,2,0.19,0.68
2020/11/3,3.920000076,3.950000048,3.910000086,3.950000048,3.095582962,100031742,1.069308616,2,0.19,0.68
2020/11/4,3.950000048,3.950000048,3.910000086,3.930000067,3.079909086,56015453,1.069308616,2,0.19,0.68
2020/11/5,3.960000038,3.970000029,3.930000067,3.960000038,3.103419781,99754661,1.069308616,2,0.19,0.68
2020/11/6,3.960000038,3.99000001,3.950000048,3.980000019,3.119093895,102154416,1.069308616,2,0.19,0.68
2020/11/9,3.99000001,4.039999962,3.980000019,4.010000229,3.142604589,118274467,1.069308616,2,0.19,0.68
2020/11/10,4.099999905,4.139999866,4.03000021,4.039999962,3.166115284,275912937,1.069308616,2,0.19,0.68
2020/11/11,4.050000191,4.130000114,4.050000191,4.119999886,3.22881031,210512178,1.069308616,2,0.19,0.68
2020/11/12,4.119999886,4.119999886,4.039999962,4.059999943,3.181788921,117668522,1.069308616,2,0.19,0.68
2020/11/13,4.050000191,4.059999943,4,4.019999981,3.150441408,100156431,1.069308616,2,0.19,0.68
2020/11/16,4.03000021,4.110000134,4.03000021,4.099999905,3.213136673,151312768,1.069308616,2,0.19,0.68
2020/11/17,4.119999886,4.139999866,4.090000153,4.119999886,3.22881031,160928612,1.069308616,2,0.19,0.68
2020/11/18,4.099999905,4.139999866,4.090000153,4.110000134,3.22097373,141105354,1.069308616,2,0.19,0.68
2020/11/19,4.110000134,4.150000095,4.099999905,4.119999886,3.22881031,100221662,1.069308616,2,0.19,0.68
2020/11/20,4.119999886,4.130000114,4.070000172,4.090000153,3.205299854,94936212,1.069308616,2,0.19,0.68
2020/11/23,4.099999905,4.199999809,4.099999905,4.199999809,3.291505575,255394821,1.069308616,2,0.19,0.68
2020/11/24,4.199999809,4.230000019,4.179999828,4.190000057,3.283669472,125263644,1.069308616,2,0.19,0.68
2020/11/25,4.25,4.320000172,4.230000019,4.230000019,3.31501627,317337839,1.069308616,2,0.19,0.68
2020/11/26,4.230000019,4.300000191,4.230000019,4.260000229,3.338527441,162329977,1.069308616,2,0.19,0.68
2020/11/27,4.260000229,4.28000021,4.21999979,4.28000021,3.354201555,127317332,1.069308616,2,0.19,0.68
2020/11/30,4.269999981,4.329999924,4.190000057,4.190000057,3.283669472,201881064,1.069308616,2,0.19,0.68
2020/12/1,4.179999828,4.25,4.179999828,4.230000019,3.31501627,116281342,1.069308616,2,0.19,0.68
2020/12/2,4.21999979,4.260000229,4.199999809,4.21999979,3.307179928,106814958,1.069308616,2,0.19,0.68
2020/12/3,4.25,4.269999981,4.190000057,4.199999809,3.291505575,106665184,1.069308616,2,0.19,0.68
2020/12/4,4.199999809,4.21999979,4.139999866,4.179999828,3.275831699,124327964,1.069308616,2,0.19,0.68
2020/12/7,4.170000076,4.190000057,4.099999905,4.110000134,3.22097373,117473304,1.069308616,2,0.19,0.68
2020/12/8,4.110000134,4.130000114,4.079999924,4.099999905,3.213136673,73660095,1.069308616,2,0.19,0.68
2020/12/9,4.090000153,4.119999886,4.070000172,4.070000172,3.189626217,78396215,1.069308616,2,0.19,0.68
2020/12/10,4.070000172,4.079999924,4.050000191,4.059999943,3.181788921,73559154,1.069308616,2,0.19,0.68
2020/12/11,4.099999905,4.119999886,4.050000191,4.119999886,3.22881031,125088937,1.069308616,2,0.19,0.68
2020/12/14,4.090000153,4.099999905,4.039999962,4.059999943,3.181788921,107828479,1.069308616,2,0.19,0.68
2020/12/15,4.039999962,4.050000191,4,4.03000021,3.158278465,71245124,1.069308616,2,0.19,0.68
2020/12/16,4.039999962,4.059999943,4.03000021,4.039999962,3.166115284,47071022,1.069308616,2,0.19,0.68
2020/12/17,4.059999943,4.099999905,4.03000021,4.090000153,3.205299854,73530053,1.069308616,2,0.19,0.68
2020/12/18,4.099999905,4.130000114,4.079999924,4.099999905,3.213136673,89943242,1.069308616,2,0.19,0.68
